P_Pos, P_Vel, Altitude, Altitude_Baro, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites
1.60,0.51,-0.159332,-0.159332,1015.881714,-0.023055,0.015314,0.022472,49.247681,-123.230621,67.599998,LOCKED,5
1.61,0.51,-0.159332,-0.159332,1015.881714,-0.005917,-0.001393,0.018673,49.247681,-123.230621,67.599998,LOCKED,5
1.61,0.50,-0.172523,-0.172523,1015.883301,-0.045544,0.025240,-0.030792,49.247681,-123.230621,67.599998,LOCKED,5
1.61,0.50,-0.172523,-0.172523,1015.883301,-0.093673,0.068873,-0.030047,49.247681,-123.230621,67.599998,LOCKED,5
1.61,0.49,-0.061440,-0.061440,1015.869934,-0.090524,0.060213,-0.046580,49.247681,-123.230621,67.599998,LOCKED,5
1.61,0.47,-0.061440,-0.061440,1015.869934,-0.091202,0.007557,-0.081460,49.247681,-123.230621,67.599998,LOCKED,5
1.62,0.45,-0.093391,-0.093391,1015.873779,-0.066254,-0.007689,-0.088033,49.247681,-123.230621,67.599998,LOCKED,5
1.62,0.45,-0.093391,-0.093391,1015.873779,-0.069265,0.056155,-0.020485,49.247681,-123.230621,67.599998,LOCKED,5
1.62,0.45,-0.061440,-0.061440,1015.869934,-0.043283,0.053502,0.016872,49.247681,-123.230621,67.599998,LOCKED,5
1.62,0.46,-0.061440,-0.061440,1015.869934,-0.013224,0.016635,0.052578,49.247681,-123.230621,67.599998,LOCKED,5
1.62,0.47,-0.101006,-0.101006,1015.874695,0.037047,-0.027123,0.061380,49.247681,-123.230621,67.599998,LOCKED,5
1.62,0.48,-0.101006,-0.101006,1015.874695,0.066535,-0.026323,0.031541,49.247681,-123.230621,67.599998,LOCKED,5
1.62,0.47,-0.101006,-0.101006,1015.874695,0.033535,0.003436,-0.009247,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.46,-0.101006,-0.101006,1015.874695,-0.006218,0.006486,-0.051727,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.45,-0.087814,-0.087814,1015.873108,-0.022647,0.001116,-0.084436,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.44,-0.087814,-0.087814,1015.873108,0.013879,-0.030321,-0.059449,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.43,-0.043175,-0.043175,1015.867737,0.036722,-0.058630,-0.033709,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.42,-0.043175,-0.043175,1015.867737,-0.003278,-0.021785,-0.067122,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.40,0.030884,0.030884,1015.858765,-0.062534,0.047359,-0.109049,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.38,0.030884,0.030884,1015.858765,-0.064802,0.038241,-0.107837,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.36,-0.003609,-0.003609,1015.862915,-0.021504,0.014503,-0.085060,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.35,-0.003609,-0.003609,1015.862915,0.030814,-0.089242,-0.045661,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.35,0.084145,0.084145,1015.852356,0.032771,-0.095836,-0.022808,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.35,0.084145,0.084145,1015.852356,0.046320,-0.083278,0.021015,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.36,0.097328,0.097328,1015.850769,0.012280,-0.045201,0.054362,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.37,0.097328,0.097328,1015.850769,-0.022199,-0.007154,0.049881,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.36,0.111023,0.111023,1015.849121,-0.058931,0.021604,-0.046112,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.34,0.111023,0.111023,1015.849121,-0.049680,0.037372,-0.109696,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.32,0.181534,0.181534,1015.840576,0.008353,0.002695,-0.076753,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.32,0.181534,0.181534,1015.840576,0.068289,-0.045313,-0.005780,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.34,0.097328,0.097328,1015.850769,0.096953,-0.082766,0.087646,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.36,0.097328,0.097328,1015.850769,0.127372,-0.067314,0.130930,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.39,0.044067,0.044067,1015.857178,0.133867,-0.055527,0.156981,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.42,0.044067,0.044067,1015.857178,0.173808,-0.106881,0.162577,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.44,0.018196,0.018196,1015.860291,0.114316,-0.153875,0.156332,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.45,0.018196,0.018196,1015.860291,0.113702,-0.088982,0.063450,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.46,0.089211,0.089211,1015.851746,0.092810,-0.042463,0.023750,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.46,0.089211,0.089211,1015.851746,0.097513,-0.073132,0.011013,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.45,0.107475,0.107475,1015.849548,0.078798,-0.016840,-0.039175,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.44,0.107475,0.107475,1015.849548,-0.000337,0.074210,-0.062745,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.42,0.164795,0.164795,1015.842590,0.001896,0.138423,-0.089377,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.40,0.164795,0.164795,1015.842590,0.032340,0.133647,-0.099737,49.247681,-123.230621,67.599998,LOCKED,5
1.65,0.37,0.151100,0.151100,1015.844238,0.075215,0.113705,-0.163915,49.247681,-123.230621,67.599998,LOCKED,5
1.65,0.34,0.151100,0.151100,1015.844238,0.072891,0.108645,-0.159351,49.247681,-123.230621,67.599998,LOCKED,5
1.65,0.31,0.054214,0.054214,1015.855957,0.122975,0.046361,-0.172136,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.29,0.054214,0.054214,1015.855957,0.086929,-0.072117,-0.130984,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.27,-0.031509,-0.031509,1015.855957,0.061830,-0.051645,-0.090815,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.27,-0.031509,-0.031509,1015.866272,0.052260,0.050306,0.016487,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.28,-0.069557,-0.069557,1015.866272,0.067612,0.038624,0.049228,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.29,-0.069557,-0.069557,1015.870911,0.077369,0.009800,0.035794,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.29,-0.069557,-0.069557,1015.870911,0.041871,0.013435,0.020831,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.31,-0.069557,-0.069557,1015.870911,-0.052065,0.088083,0.099773,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.34,-0.069557,-0.069557,1015.870911,-0.086306,0.062114,0.180154,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.38,-0.012741,-0.012741,1015.864014,-0.100251,0.060147,0.241114,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.43,-0.012741,-0.012741,1015.864014,-0.052468,0.039762,0.259269,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.44,0.072472,0.072472,1015.853760,0.011928,-0.085595,0.076579,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.43,0.072472,0.072472,1015.853760,0.002114,-0.075011,-0.053586,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.42,-0.038612,-0.038612,1015.867188,-0.097365,-0.034829,-0.043926,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.41,-0.038612,-0.038612,1015.867188,-0.138124,0.004885,-0.055808,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.41,0.005516,0.005516,1015.861816,-0.107218,0.030669,-0.001197,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.41,0.005516,0.005516,1015.861816,-0.073438,0.091331,-0.006564,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.38,0.019211,0.019211,1015.860168,-0.023349,0.074573,-0.151068,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.34,0.019211,0.019211,1015.860168,-0.100295,0.128710,-0.212463,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.30,0.005516,0.005516,1015.861816,-0.051792,0.136612,-0.214728,49.247681,-123.230621,67.599998,LOCKED,5
1.64,0.29,0.005516,0.005516,1015.861816,-0.061144,0.103871,-0.044778,49.247681,-123.230621,67.599998,LOCKED,5
1.63,0.32,0.019211,0.019211,1015.860168,-0.062257,0.041597,0.141358,49.247688,-123.230606,67.599998,LOCKED,5
1.63,0.34,0.019211,0.019211,1015.860168,0.022432,0.027041,0.156680,49.247688,-123.230606,67.599998,LOCKED,5
1.63,0.37,-0.007164,-0.007164,1015.863342,0.011578,0.040313,0.158306,49.247688,-123.230606,67.599998,LOCKED,5
1.63,0.37,-0.007164,-0.007164,1015.863342,0.010958,0.043642,-0.010176,49.247688,-123.230606,67.599998,LOCKED,5
