P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, GPS_Altitude, Lock, Satellites
0.69,-0.28,1.956413,1013.580322,0.044916,-0.017000,-0.030843,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.29,1.956413,1013.580322,0.019195,-0.030871,-0.089931,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.31,1.842079,1013.594055,0.070557,-0.025234,-0.127669,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.32,1.842079,1013.594055,0.047671,-0.077018,-0.015911,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.31,1.772461,1013.594055,0.075095,-0.060621,0.011983,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.31,1.772461,1013.602478,0.080182,-0.072073,0.035933,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.30,1.772461,1013.602478,0.086577,-0.040704,0.041644,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.30,1.891876,1013.588074,0.087187,-0.025840,0.000762,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.30,1.891876,1013.588074,0.050278,-0.072182,-0.028449,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.30,1.834457,1013.594971,0.021839,-0.068300,-0.004497,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.30,1.834457,1013.594971,0.054043,-0.060964,0.019303,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.28,1.790245,1013.600342,0.085873,-0.029380,0.083849,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.27,1.790245,1013.600342,0.062178,-0.031601,0.088460,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.26,1.825821,1013.596008,0.080825,-0.012351,0.013554,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.26,1.825821,1013.596008,0.038762,-0.017163,0.018394,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.26,1.818703,1013.596863,0.045405,-0.040149,0.006430,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.27,1.818703,1013.596863,0.098311,-0.040124,-0.045544,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.27,1.831406,1013.595337,0.047256,-0.015420,-0.026951,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.29,1.831406,1013.595337,0.030496,-0.011983,-0.104065,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.30,1.801430,1013.598999,0.050208,-0.019879,-0.085407,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.30,1.801430,1013.598999,0.090596,-0.015468,0.019089,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.28,1.756706,1013.604370,0.110142,-0.020928,0.106571,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.26,1.756706,1013.604370,0.081693,-0.012510,0.109168,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.26,1.730797,1013.607483,0.062455,0.006506,-0.030174,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
