type	time	latitude	longitude	altitude (m)	speed (km/h)	course	sat	hdop	eos	name
T	2023-12-08 00:27:11.8	49.259073167	-123.249101667	90.4	0.1		10	1.03		
T	2023-12-08 00:27:12	49.259073167	-123.249102000	90.3	0.0		10	1.03		
T	2023-12-08 00:27:12.2	49.259073333	-123.249102167	90.3	0.1		10	1.03		
T	2023-12-08 00:27:12.4	49.259073500	-123.249102333	90.3	0.1		10	1.03		
T	2023-12-08 00:27:12.6	49.259073500	-123.249102667	90.2	0.1		10	1.03		
T	2023-12-08 00:27:12.8	49.259073500	-123.249103000	90.2	0.1		10	1.03		
T	2023-12-08 00:27:13	49.259073500	-123.249103333	90.2	0.1		10	1.03		
T	2023-12-08 00:27:13.2	49.259073333	-123.249104000	90.2	0.5		10	1.03		
T	2023-12-08 00:27:13.4	49.259073167	-123.249105000	90.1	0.9		10	1.03		
T	2023-12-08 00:27:13.6	49.259072833	-123.249106500	90.1	1.5		10	1.03		
T	2023-12-08 00:27:13.8	49.259072333	-123.249108000	90.1	1.7		10	1.03		
T	2023-12-08 00:27:14	49.259071833	-123.249110333	90.0	2.6	248.6	9	1.06		
T	2023-12-08 00:27:14.2	49.259071333	-123.249112333	90.0	2.7	248.9	9	1.06		
T	2023-12-08 00:27:14.4	49.259070167	-123.249115333	89.9	3.8	243.4	10	1.03		
T	2023-12-08 00:27:14.6	49.259069667	-123.249118500	89.8	3.8	245.2	10	1.03		
T	2023-12-08 00:27:14.8	49.259068500	-123.249122500	89.9	5.1	245.9	10	1.03		
T	2023-12-08 00:27:15	49.259067333	-123.249126167	89.9	5.3	243.1	10	1.03		
T	2023-12-08 00:27:15.2	49.259065333	-123.249130167	89.9	5.8	237.1	10	1.03		
T	2023-12-08 00:27:15.4	49.259062667	-123.249136667	90.0	8.0	235.6	10	1.03		
T	2023-12-08 00:27:15.6	49.259060333	-123.249141833	90.1	8.1	234.9	10	1.03		
T	2023-12-08 00:27:15.8	49.259058000	-123.249149500	90.0	9.7	238.2	10	1.03		
T	2023-12-08 00:27:16	49.259054000	-123.249158000	89.9	11.6	235.5	10	1.03		
T	2023-12-08 00:27:16.2	49.259050333	-123.249166500	89.9	12.5	235.0	10	1.03		
T	2023-12-08 00:27:16.4	49.259045833	-123.249175833	89.9	14.0	233.0	10	1.03		
T	2023-12-08 00:27:16.6	49.259041500	-123.249188000	89.8	16.1	234.9	10	1.03		
T	2023-12-08 00:27:16.8	49.259036500	-123.249197667	89.7	16.2	234.0	10	1.03		
T	2023-12-08 00:27:17	49.259031833	-123.249208000	89.7	16.7	233.3	10	1.03		
T	2023-12-08 00:27:17.2	49.259027333	-123.249220000	89.9	17.8	234.0	10	1.03		
T	2023-12-08 00:27:17.4	49.259022167	-123.249231833	89.9	18.3	234.4	10	1.03		
T	2023-12-08 00:27:23.6	49.258798333	-123.249884333	89.1	34.0	244.7	9	1.03		
T	2023-12-08 00:27:23.8	49.258789500	-123.249908167	89.2	34.7	242.7	9	1.03		
T	2023-12-08 00:27:24	49.258781167	-123.249932500	89.0	35.3	242.0	9	1.03		
T	2023-12-08 00:27:24.2	49.258773167	-123.249956833	88.6	35.4	241.9	9	1.03		
T	2023-12-08 00:27:24.4	49.258765167	-123.249978833	88.5	34.1	240.4	9	1.03		
T	2023-12-08 00:27:24.6	49.258757833	-123.250001500	88.3	33.3	241.2	9	1.03		
T	2023-12-08 00:27:24.8	49.258751000	-123.250023833	88.3	32.5	242.7	9	1.03		
T	2023-12-08 00:27:25	49.258743833	-123.250045500	88.1	31.7	242.4	9	1.03		
T	2023-12-08 00:27:25.2	49.258736833	-123.250066333	87.9	30.7	242.0	9	1.03		
T	2023-12-08 00:27:25.4	49.258729333	-123.250086333	88.0	29.8	240.6	9	1.03		
T	2023-12-08 00:27:25.6	49.258722000	-123.250106667	88.0	29.6	240.7	9	1.03		
T	2023-12-08 00:27:25.8	49.258715333	-123.250125667	88.0	28.3	240.6	9	1.03		
T	2023-12-08 00:27:26	49.258708333	-123.250144333	88.1	27.5	240.0	9	1.03		
T	2023-12-08 00:27:26.2	49.258700333	-123.250162833	88.3	27.4	238.9	9	1.03		
T	2023-12-08 00:27:26.4	49.258693667	-123.250179833	88.6	26.1	238.4	9	1.03		
T	2023-12-08 00:27:26.6	49.258688500	-123.250196333	88.6	24.7	239.4	9	1.03		
T	2023-12-08 00:27:26.8	49.258683500	-123.250212000	88.7	23.1	240.3	9	1.03		
T	2023-12-08 00:27:27	49.258679000	-123.250226167	88.5	21.7	241.0	9	1.03		
T	2023-12-08 00:27:27.2	49.258675500	-123.250240333	88.3	20.6	242.9	9	1.03		
T	2023-12-08 00:27:27.4	49.258672667	-123.250253167	88.2	19.0	244.8	9	1.03		
T	2023-12-08 00:27:27.6	49.258670333	-123.250266167	88.0	18.1	246.9	10	1.03		
T	2023-12-08 00:27:27.8	49.258667667	-123.250278333	87.8	17.0	247.3	10	1.03		
T	2023-12-08 00:27:28	49.258664167	-123.250290333	87.6	16.6	246.8	10	1.03		
T	2023-12-08 00:27:28.2	49.258661000	-123.250302000	87.4	16.2	246.8	10	1.03		
T	2023-12-08 00:27:28.4	49.258657000	-123.250313000	87.6	15.7	245.4	10	1.03		
T	2023-12-08 00:27:28.6	49.258653000	-123.250323500	87.7	15.2	244.5	10	1.03		
T	2023-12-08 00:27:28.8	49.258649500	-123.250333000	87.4	14.2	242.4	10	1.03		
T	2023-12-08 00:27:29	49.258646333	-123.250342167	87.2	13.4	241.6	10	1.03		
T	2023-12-08 00:27:29.2	49.258643500	-123.250350167	87.1	11.8	242.1	10	1.03		
T	2023-12-08 00:27:29.4	49.258641167	-123.250356667	86.9	9.7	241.4	10	1.03		
T	2023-12-08 00:27:29.6	49.258639833	-123.250362667	86.7	8.5	243.6	10	1.03		
T	2023-12-08 00:27:29.8	49.258638500	-123.250367667	86.4	7.3	244.0	10	1.03		
T	2023-12-08 00:27:30	49.258637333	-123.250372167	86.4	6.6	244.9	10	1.03		
T	2023-12-08 00:27:30.2	49.258636167	-123.250376167	86.4	5.9	245.6	10	1.03		
T	2023-12-08 00:27:30.4	49.258636500	-123.250379500	86.3	4.8	250.5	10	1.03		
T	2023-12-08 00:27:30.6	49.258636333	-123.250382333	86.3	4.2	255.3	10	1.03		
T	2023-12-08 00:27:30.8	49.258634833	-123.250386667	86.3	4.9	253.1	10	1.03		
T	2023-12-08 00:27:31	49.258633333	-123.250391167	86.3	5.3	250.5	10	1.03		
T	2023-12-08 00:27:31.2	49.258631833	-123.250396000	86.2	6.0	248.9	10	1.03		
T	2023-12-08 00:27:31.4	49.258630167	-123.250400000	86.0	6.2	244.0	10	1.03		
T	2023-12-08 00:27:31.6	49.258629500	-123.250404000	85.7	5.6	243.9	10	1.03		
T	2023-12-08 00:27:31.8	49.258629333	-123.250407000	85.2	4.6	245.5	10	1.03		
T	2023-12-08 00:27:32	49.258627500	-123.250410333	85.0	4.9	241.0	10	1.03		
T	2023-12-08 00:27:32.2	49.258624333	-123.250414667	85.0	6.2	234.1	10	1.03		
T	2023-12-08 00:27:32.4	49.258619833	-123.250418000	85.2	7.1	224.5	10	1.03		
T	2023-12-08 00:27:32.6	49.258615500	-123.250422333	85.4	7.9	220.3	10	1.03		
T	2023-12-08 00:27:32.8	49.258610500	-123.250427167	85.4	9.3	217.3	10	1.03		
T	2023-12-08 00:27:33	49.258605667	-123.250433333	85.3	10.6	217.6	10	1.03		
T	2023-12-08 00:27:33.2	49.258600833	-123.250441000	85.3	11.9	220.7	10	1.03		
T	2023-12-08 00:27:33.4	49.258595500	-123.250448667	85.4	12.8	222.8	10	1.03		
T	2023-12-08 00:27:33.6	49.258590000	-123.250456667	85.3	13.5	223.8	10	1.03		
T	2023-12-08 00:27:44.6	49.257942000	-123.250102333	83.8	22.1	154.4	10	1.77		
T	2023-12-08 00:27:44.8	49.257932000	-123.250094667	83.7	22.4	153.6	10	1.03		
T	2023-12-08 00:27:45	49.257921667	-123.250087500	83.6	22.6	154.0	10	1.03		
T	2023-12-08 00:27:45.2	49.257910667	-123.250080333	83.7	23.0	154.2	10	1.03		
T	2023-12-08 00:27:45.4	49.257899500	-123.250072833	83.6	23.4	154.3	10	1.03		
T	2023-12-08 00:27:45.6	49.257888667	-123.250065000	83.4	24.0	154.3	10	1.03		
T	2023-12-08 00:27:45.8	49.257877667	-123.250057167	83.5	23.8	153.8	10	1.03		
T	2023-12-08 00:27:46	49.257866500	-123.250048667	83.4	24.6	153.3	10	1.03		
T	2023-12-08 00:27:46.2	49.257855333	-123.250041667	83.4	23.8	154.1	10	1.03		
T	2023-12-08 00:27:46.4	49.257845000	-123.250034167	83.2	23.5	154.2	10	1.03		
T	2023-12-08 00:27:46.6	49.257834167	-123.250026667	83.3	23.1	153.4	10	1.03		
T	2023-12-08 00:27:46.8	49.257824833	-123.250019667	83.0	21.7	153.1	10	1.03		
T	2023-12-08 00:27:47	49.257815333	-123.250013333	82.9	20.4	152.8	10	1.03		
T	2023-12-08 00:27:47.2	49.257806500	-123.250007833	82.9	19.1	153.8	10	1.03		
T	2023-12-08 00:27:47.4	49.257798000	-123.250002833	82.9	17.8	154.2	10	1.03		
T	2023-12-08 00:27:49.6	49.257747500	-123.249971833	82.3	3.7	151.8	10	1.03		
T	2023-12-08 00:27:49.8	49.257745833	-123.249971333	82.4	2.5	151.5	10	1.03		
T	2023-12-08 00:27:50	49.257745167	-123.249971000	82.4	1.6	151.4	10	1.03		
T	2023-12-08 00:27:50.2	49.257744500	-123.249970500	82.4	1.1		10	1.03		
T	2023-12-08 00:27:50.4	49.257744167	-123.249970333	82.5	0.7		10	1.03		
T	2023-12-08 00:27:50.6	49.257744000	-123.249970333	82.6	0.1		10	1.03		
T	2023-12-08 00:27:50.8	49.257743833	-123.249970000	82.6	0.2		10	1.03		
T	2023-12-08 00:27:51	49.257743333	-123.249970000	82.7	0.3		10	1.03		
T	2023-12-08 00:27:51.2	49.257743167	-123.249969500	82.7	0.2		10	1.03		
T	2023-12-08 00:27:51.4	49.257743000	-123.249969333	82.7	0.1		10	1.03		
T	2023-12-08 00:27:51.6	49.257742667	-123.249969167	82.7	0.2		10	1.03		
T	2023-12-08 00:27:51.8	49.257742333	-123.249969333	82.8	0.2		10	1.03		
T	2023-12-08 00:27:52	49.257742167	-123.249968833	82.8	0.2		10	1.03		
T	2023-12-08 00:27:52.2	49.257741667	-123.249969000	82.8	0.1		10	1.03		
T	2023-12-08 00:27:52.4	49.257741667	-123.249968667	82.8	0.2		10	1.03		
T	2023-12-08 00:27:52.6	49.257741500	-123.249968500	82.8	0.1		10	1.03		
T	2023-12-08 00:27:52.8	49.257741333	-123.249968500	82.7	0.2		10	1.03		
T	2023-12-08 00:27:53	49.257741500	-123.249968667	82.7	0.2		10	1.03		
T	2023-12-08 00:27:53.2	49.257741667	-123.249968833	82.6	0.4		10	1.03		
T	2023-12-08 00:27:53.4	49.257741333	-123.249969000	82.5	0.2		10	1.03		
T	2023-12-08 00:27:53.8	49.257741333	-123.249969500	82.3	0.0		10	1.03		
T	2023-12-08 00:27:54	49.257741167	-123.249969500	82.2	0.2		10	1.03		
T	2023-12-08 00:27:54.2	49.257741000	-123.249969333	82.1	0.1		10	1.03		
T	2023-12-08 00:27:54.4	49.257740833	-123.249969333	82.0	0.1		10	1.03		
T	2023-12-08 00:27:54.6	49.257740667	-123.249969500	82.0	0.1		10	1.03		
T	2023-12-08 00:27:54.8	49.257740167	-123.249969667	82.0	0.1		10	1.03		
T	2023-12-08 00:27:55	49.257739833	-123.249969833	82.0	0.1		10	1.03		
T	2023-12-08 00:27:55.2	49.257739500	-123.249970000	82.0	0.1		10	1.03		
T	2023-12-08 00:27:55.4	49.257739167	-123.249970167	82.0	0.0		10	1.03		
T	2023-12-08 00:27:55.6	49.257738833	-123.249970167	81.9	0.1		10	1.03		
T	2023-12-08 00:27:55.8	49.257738500	-123.249970000	81.8	0.1		10	1.03		
T	2023-12-08 00:27:56	49.257738000	-123.249970000	81.7	0.1		10	1.03		
T	2023-12-08 00:27:56.2	49.257737833	-123.249970167	81.7	0.2		11	1.03		
T	2023-12-08 00:27:56.4	49.257737833	-123.249970667	81.6	0.3		11	1.03		
T	2023-12-08 00:27:56.6	49.257737333	-123.249970833	81.6	0.2		11	1.03		
T	2023-12-08 00:27:56.8	49.257736500	-123.249971167	81.6	0.8		11	1.03		
T	2023-12-08 00:27:57	49.257735833	-123.249970833	81.6	0.6		11	1.03		
T	2023-12-08 00:27:57.2	49.257734833	-123.249970333	81.6	1.3	151.3	11	1.03		
T	2023-12-08 00:27:57.4	49.257733667	-123.249969833	81.5	2.1	154.0	11	1.03		
T	2023-12-08 00:27:57.6	49.257732333	-123.249968833	81.4	3.1	153.3	11	1.03		
T	2023-12-08 00:27:57.8	49.257730167	-123.249967333	81.4	4.4	153.0	11	1.03		
T	2023-12-08 00:27:58	49.257727667	-123.249965167	81.3	5.7	151.5	10	1.11		
T	2023-12-08 00:27:58.2	49.257724333	-123.249962500	81.3	7.1	150.3	11	1.11		
T	2023-12-08 00:27:58.4	49.257720833	-123.249958500	81.3	8.5	147.4	11	1.03		
T	2023-12-08 00:27:58.6	49.257716000	-123.249954500	81.3	10.0	146.4	11	1.03		
T	2023-12-08 00:27:58.8	49.257710667	-123.249950000	81.3	11.5	146.4	11	1.03		
T	2023-12-08 00:27:59	49.257704333	-123.249945833	81.4	12.7	147.8	11	1.03		
T	2023-12-08 00:27:59.2	49.257698167	-123.249941333	81.3	13.2	149.5	11	1.03		
T	2023-12-08 00:27:59.4	49.257690333	-123.249936667	81.4	14.6	151.6	11	1.03		
T	2023-12-08 00:27:59.6	49.257683667	-123.249931500	81.3	14.9	152.1	11	1.03		
T	2023-12-08 00:28:32.2	49.255764833	-123.248391167	77.9	28.1	155.9	9	1.11		
T	2023-12-08 00:28:32.4	49.255751500	-123.248381000	77.9	28.3	155.9	9	1.11		
T	2023-12-08 00:28:32.6	49.255738000	-123.248370833	78.0	28.6	155.5	9	1.11		
T	2023-12-08 00:28:32.8	49.255725167	-123.248360667	77.9	28.2	155.2	9	1.11		
T	2023-12-08 00:28:33	49.255712500	-123.248351500	77.8	27.8	155.5	9	1.11		
T	2023-12-08 00:28:33.2	49.255699833	-123.248342333	77.8	27.5	155.6	9	1.11		
T	2023-12-08 00:28:33.4	49.255688000	-123.248333833	77.7	26.7	155.7	9	1.11		
T	2023-12-08 00:28:33.6	49.255677167	-123.248323833	77.6	25.9	154.3	9	1.11		
T	2023-12-08 00:28:33.8	49.255665833	-123.248316000	77.6	25.1	154.6	9	1.11		
T	2023-12-08 00:28:34	49.255656000	-123.248309167	77.6	23.2	155.2	9	1.11		
T	2023-12-08 00:28:34.2	49.255646000	-123.248302000	77.6	22.1	155.4	9	1.11		
T	2023-12-08 00:28:34.4	49.255636833	-123.248295167	77.5	21.2	155.5	9	1.11		
T	2023-12-08 00:28:34.6	49.255629667	-123.248287833	77.0	19.3	153.9	9	1.11		
T	2023-12-08 00:28:34.8	49.255622667	-123.248280667	76.5	18.5	153.2	9	1.11		
T	2023-12-08 00:28:35	49.255615333	-123.248274333	76.2	18.0	153.5	9	1.11		
T	2023-12-08 00:28:35.2	49.255607833	-123.248266667	75.9	17.8	152.1	9	1.11		
T	2023-12-08 00:28:35.4	49.255600667	-123.248261333	75.8	17.0	153.0	9	1.11		
T	2023-12-08 00:28:35.6	49.255593500	-123.248255333	75.7	16.4	153.2	9	1.11		
T	2023-12-08 00:28:35.8	49.255586667	-123.248250500	75.6	15.4	154.4	9	1.11		
T	2023-12-08 00:28:36	49.255580500	-123.248244667	75.4	14.3	153.6	9	1.11		
T	2023-12-08 00:28:36.2	49.255574667	-123.248239000	75.3	14.0	152.8	9	1.11		
T	2023-12-08 00:28:36.4	49.255569333	-123.248234667	75.4	12.2	152.0	9	1.11		
T	2023-12-08 00:28:36.6	49.255564333	-123.248231167	75.4	10.8	152.1	9	1.11		
T	2023-12-08 00:28:36.8	49.255559667	-123.248228167	75.4	10.1	153.4	9	1.11		
T	2023-12-08 00:28:37	49.255555833	-123.248225833	75.3	9.0	155.8	9	1.11		
T	2023-12-08 00:28:37.2	49.255552833	-123.248224000	75.3	7.4	157.6	9	1.11		
T	2023-12-08 00:28:37.4	49.255551833	-123.248222167	75.4	5.1	157.5	8	1.82		
T	2023-12-08 00:28:37.6	49.255551000	-123.248220833	75.3	3.7	157.4	8	1.82		
T	2023-12-08 00:28:37.8	49.255551500	-123.248220667	75.4	1.7		8	1.82		
T	2023-12-08 00:28:38	49.255551667	-123.248221167	75.4	0.6		8	1.82		
T	2023-12-08 00:28:38.2	49.255551167	-123.248221500	75.5	0.3		8	1.82		
T	2023-12-08 00:28:38.4	49.255550500	-123.248221333	75.5	0.2		8	1.82		
T	2023-12-08 00:28:38.6	49.255549667	-123.248220833	75.7	0.3		8	1.82		
T	2023-12-08 00:28:38.8	49.255549500	-123.248219833	75.6	0.4		8	1.82		
T	2023-12-08 00:28:39	49.255549167	-123.248217500	75.5	0.2		8	1.82		
T	2023-12-08 00:28:39.2	49.255548500	-123.248215667	75.4	0.2		8	1.82		
T	2023-12-08 00:28:39.4	49.255547833	-123.248214000	75.4	0.4		8	1.82		
T	2023-12-08 00:28:39.6	49.255547000	-123.248213500	75.3	0.3		8	1.82		
T	2023-12-08 00:28:39.8	49.255546667	-123.248212167	75.3	0.2		8	1.82		
T	2023-12-08 00:28:40	49.255546333	-123.248211667	75.2	0.1		8	1.82		
T	2023-12-08 00:28:40.2	49.255546333	-123.248210500	75.1	0.3		9	1.82		
T	2023-12-08 00:28:40.4	49.255546333	-123.248210000	75.1	0.1		9	1.82		
T	2023-12-08 00:28:40.6	49.255546000	-123.248209500	75.0	0.1		9	1.82		
T	2023-12-08 00:28:40.8	49.255545333	-123.248208667	75.0	0.4		9	1.82		
T	2023-12-08 00:28:41	49.255544667	-123.248207833	75.0	0.6		9	1.82		
T	2023-12-08 00:28:41.2	49.255543500	-123.248206500	75.0	1.3		9	1.82		
T	2023-12-08 00:28:41.4	49.255541667	-123.248205333	75.0	2.2	158.0	9	1.82		
T	2023-12-08 00:28:41.6	49.255540000	-123.248203500	75.0	2.9	157.7	9	1.82		
T	2023-12-08 00:28:41.8	49.255538167	-123.248201333	74.8	4.0	157.4	9	1.82		
T	2023-12-08 00:28:42	49.255535333	-123.248199167	74.8	5.0	160.0	10	1.11		
T	2023-12-08 00:28:42.2	49.255532667	-123.248197000	74.8	5.6	161.0	9	1.82		
T	2023-12-08 00:28:47.8	49.255304500	-123.248283833	73.7	26.1	221.0	10	1.11		
T	2023-12-08 00:28:48	49.255295500	-123.248297667	73.6	25.6	222.8	10	1.11		
T	2023-12-08 00:28:48.2	49.255286500	-123.248313000	73.4	26.2	224.8	10	1.11		
T	2023-12-08 00:28:48.4	49.255276833	-123.248328833	73.5	26.7	226.2	10	1.11		
T	2023-12-08 00:28:48.6	49.255267167	-123.248344833	73.5	27.4	227.0	10	1.11		
T	2023-12-08 00:28:48.8	49.255257167	-123.248359833	73.7	27.4	226.6	10	1.11		
T	2023-12-08 00:28:49	49.255246833	-123.248376667	73.9	28.1	226.7	10	1.11		
T	2023-12-08 00:28:49.2	49.255237000	-123.248394667	73.9	28.8	228.5	10	1.11		
T	2023-12-08 00:28:49.4	49.255227000	-123.248412667	74.1	29.0	229.5	10	1.11		
T	2023-12-08 00:28:49.6	49.255216667	-123.248431000	74.3	29.4	229.9	10	1.11		
T	2023-12-08 00:28:49.8	49.255205667	-123.248448333	74.5	29.7	228.5	10	1.11		
T	2023-12-08 00:28:50	49.255195333	-123.248465667	74.5	29.4	228.5	10	1.11		
T	2023-12-08 00:28:50.2	49.255185167	-123.248482667	74.5	29.4	228.1	10	1.11		
T	2023-12-08 00:28:50.4	49.255174667	-123.248501667	74.5	30.7	229.2	10	1.17		
T	2023-12-08 00:28:50.6	49.255163833	-123.248520167	74.6	31.0	229.1	9	1.17		
T	2023-12-08 00:28:50.8	49.255153333	-123.248539167	74.8	31.2	229.8	10	1.17		
T	2023-12-08 00:28:51	49.255143167	-123.248559167	74.8	31.5	230.8	10	1.17		
T	2023-12-08 00:28:51.2	49.255132500	-123.248578667	74.8	32.0	230.7	10	1.17		
T	2023-12-08 00:28:51.4	49.255121667	-123.248598167	74.9	32.2	230.6	10	1.17		
T	2023-12-08 00:28:51.6	49.255110500	-123.248617167	74.8	32.3	230.1	10	1.11		
T	2023-12-08 00:28:51.8	49.255100000	-123.248637500	74.8	32.7	230.6	10	1.11		
T	2023-12-08 00:28:52	49.255089000	-123.248656833	74.8	32.6	229.6	10	1.11		
T	2023-12-08 00:28:52.2	49.255078167	-123.248676667	74.9	32.9	230.2	10	1.11		
T	2023-12-08 00:28:52.4	49.255066833	-123.248696167	74.9	33.1	229.2	10	1.11		
T	2023-12-08 00:28:52.6	49.255055667	-123.248715333	74.9	33.1	228.1	10	1.11		
T	2023-12-08 00:28:52.8	49.255044167	-123.248735000	74.9	33.6	228.4	10	1.11		
T	2023-12-08 00:28:53	49.255032500	-123.248754667	74.9	33.8	228.2	10	1.11		
T	2023-12-08 00:28:53.2	49.255020667	-123.248774333	75.0	33.9	228.1	10	1.11		
T	2023-12-08 00:28:53.4	49.255008833	-123.248793500	75.1	33.5	227.5	10	1.11		
T	2023-12-08 00:28:53.6	49.254997167	-123.248812667	75.0	33.5	226.8	10	1.11		
T	2023-12-08 00:28:53.8	49.254986000	-123.248832167	74.9	33.4	227.8	10	1.11		
T	2023-12-08 00:28:54	49.254974667	-123.248852000	74.9	33.8	227.9	10	1.11		
T	2023-12-08 00:28:54.2	49.254963333	-123.248871833	75.0	34.0	228.6	10	1.11		
T	2023-12-08 00:28:54.4	49.254952667	-123.248892000	74.8	33.8	229.6	10	1.11		
T	2023-12-08 00:28:54.6	49.254941500	-123.248912167	74.7	33.9	229.8	10	1.11		
T	2023-12-08 00:28:54.8	49.254930833	-123.248931500	74.6	33.2	229.1	10	1.11		
T	2023-12-08 00:28:55	49.254921167	-123.248950500	74.1	32.7	229.7	10	1.11		
T	2023-12-08 00:28:55.2	49.254911167	-123.248970333	73.8	32.9	230.3	11	1.03		
T	2023-12-08 00:28:55.4	49.254900667	-123.248990833	73.8	33.2	230.9	10	1.03		
T	2023-12-08 00:28:55.6	49.254890000	-123.249012500	73.6	34.3	231.7	10	1.03		
T	2023-12-08 00:28:55.8	49.254879667	-123.249033667	73.5	34.3	231.9	10	1.03		
T	2023-12-08 00:28:56	49.254869167	-123.249054167	73.4	33.8	231.9	10	1.03		
T	2023-12-08 00:28:56.2	49.254858167	-123.249074500	73.3	33.8	231.4	12	1.03		
T	2023-12-08 00:28:56.4	49.254847167	-123.249094500	73.3	33.5	230.5	12	1.03		
T	2023-12-08 00:28:56.6	49.254836167	-123.249114333	73.2	33.4	229.8	12	1.03		
T	2023-12-08 00:28:56.8	49.254825000	-123.249134667	73.1	33.7	229.7	12	1.03		
T	2023-12-08 00:28:57	49.254814500	-123.249155000	72.9	33.7	230.4	12	1.03		
T	2023-12-08 00:28:57.2	49.254804000	-123.249176167	72.8	33.8	231.6	12	1.03		
T	2023-12-08 00:28:57.4	49.254793000	-123.249196500	72.7	33.7	231.1	12	1.03		
T	2023-12-08 00:28:57.6	49.254781667	-123.249215500	72.7	33.0	230.1	12	1.03		
T	2023-12-08 00:28:57.8	49.254770667	-123.249234000	72.7	32.1	229.6	12	1.03		
T	2023-12-08 00:30:17.4	49.259511500	-123.254968167	81.6	0.2		11	1.03		
T	2023-12-08 00:30:17.6	49.259511000	-123.254969333	81.8	0.2		11	1.03		
T	2023-12-08 00:30:17.8	49.259510667	-123.254970500	82.0	0.7		11	1.03		
T	2023-12-08 00:30:18	49.259510167	-123.254971667	82.2	0.6		11	1.03		
T	2023-12-08 00:30:18.2	49.259509833	-123.254973000	82.2	0.3		11	1.03		
T	2023-12-08 00:30:18.4	49.259509500	-123.254974667	82.4	0.5		11	1.03		
T	2023-12-08 00:30:18.6	49.259508833	-123.254976333	82.5	0.4		11	1.03		
T	2023-12-08 00:30:18.8	49.259507833	-123.254978333	82.6	0.2		11	1.03		
T	2023-12-08 00:30:19	49.259506500	-123.254980667	82.9	0.2		11	1.03		
T	2023-12-08 00:30:19.2	49.259505167	-123.254982833	83.2	0.4		11	1.03		
T	2023-12-08 00:30:19.4	49.259504333	-123.254984500	83.4	0.4		11	1.03		
T	2023-12-08 00:30:19.6	49.259503667	-123.254985500	83.5	0.4		11	1.74		
T	2023-12-08 00:30:19.8	49.259503000	-123.254986500	83.7	0.3		11	1.74		
T	2023-12-08 00:30:20	49.259501833	-123.254987833	83.9	0.4		11	1.03		
T	2023-12-08 00:30:20.2	49.259501000	-123.254989000	84.1	0.4		11	1.03		
T	2023-12-08 00:30:20.4	49.259499833	-123.254990667	84.3	0.6		11	1.03		
T	2023-12-08 00:30:20.6	49.259499000	-123.254991833	84.4	0.4		11	1.03		
T	2023-12-08 00:30:20.8	49.259498333	-123.254993000	84.5	0.2		11	1.08		
T	2023-12-08 00:30:21	49.259497667	-123.254994000	84.6	0.1		11	1.08		
T	2023-12-08 00:30:21.2	49.259497000	-123.254995167	84.7	0.1		11	1.08		
T	2023-12-08 00:30:21.4	49.259496333	-123.254996000	84.8	0.2		11	1.08		
T	2023-12-08 00:30:21.6	49.259495833	-123.254996500	84.9	0.2		11	1.03		
T	2023-12-08 00:30:21.8	49.259495000	-123.254997500	85.0	0.1		11	1.08		
T	2023-12-08 00:30:22	49.259494333	-123.254998167	85.0	0.1		11	1.03		
T	2023-12-08 00:30:22.2	49.259493833	-123.254998667	85.0	0.0		11	1.03		
T	2023-12-08 00:30:22.4	49.259493167	-123.254999500	85.0	0.0		11	1.03		
T	2023-12-08 00:30:22.6	49.259492667	-123.255000167	85.1	0.1		11	1.03		
T	2023-12-08 00:30:22.8	49.259492000	-123.255000833	85.1	0.2		11	1.74		
T	2023-12-08 00:30:23	49.259491333	-123.255001667	85.2	0.1		11	1.74		
T	2023-12-08 00:30:23.2	49.259490833	-123.255002500	85.2	0.1		10	1.74		
T	2023-12-08 00:30:23.4	49.259490000	-123.255003500	85.3	0.2		11	1.74		
T	2023-12-08 00:30:23.6	49.259489333	-123.255004333	85.4	0.5		11	1.74		
T	2023-12-08 00:30:23.8	49.259488833	-123.255005167	85.5	0.5		11	1.74		
T	2023-12-08 00:30:24	49.259488167	-123.255005667	85.6	0.3		11	1.74		
T	2023-12-08 00:30:24.2	49.259487833	-123.255006167	85.6	0.1		11	1.03		
T	2023-12-08 00:30:24.4	49.259487333	-123.255006833	85.7	0.3		11	1.74		
T	2023-12-08 00:30:24.6	49.259487000	-123.255007333	85.7	0.3		11	1.74		
T	2023-12-08 00:30:24.8	49.259486167	-123.255008500	85.8	0.2		11	1.96		
T	2023-12-08 00:30:25	49.259485667	-123.255008833	85.9	0.0		11	1.74		
T	2023-12-08 00:30:25.2	49.259485333	-123.255009000	86.0	0.1		11	1.74		
T	2023-12-08 00:30:25.4	49.259484833	-123.255009667	86.1	0.2		11	1.74		
T	2023-12-08 00:30:25.6	49.259483667	-123.255012333	86.5	0.1		11	1.74		
T	2023-12-08 00:30:25.8	49.259482500	-123.255015000	86.9	0.1		11	1.74		
T	2023-12-08 00:30:26	49.259481500	-123.255016833	87.1	0.3		11	1.74		
T	2023-12-08 00:30:26.2	49.259480667	-123.255018833	87.2	0.2		11	1.74		
T	2023-12-08 00:30:26.4	49.259479667	-123.255021000	87.3	0.1		11	1.03		
T	2023-12-08 00:30:26.6	49.259478667	-123.255022500	87.4	0.2		11	1.03		
T	2023-12-08 00:30:26.8	49.259477833	-123.255024333	87.5	0.1		11	1.03		
T	2023-12-08 00:30:27	49.259477000	-123.255026500	87.6	0.2		11	1.03		
